0500147630;26110689;;00000000001251421491;
0500147630;26110212;;00000000001251421446;
0500147630;26110119;;00000000001251421590;
0500147630;26109885;;00000000001251421729;
0500147630;26109822;;00000000001251421620;
0500147630;26109479;;00000000001251421682;
0500147630;26109085;;00000000001251421194;
0500147630;26108871;;00000000001251421699;
0500147630;26108578;;00000000001251421460;
0500147630;26108487;;00000000001251421637;
0500147630;26108156;;00000000001251421422;
0500147630;26108048;;00000000001251421712;
0500147630;26107973;;00000000001251421187;
0500147630;26107618;;00000000001251421583;
0500147630;26106725;;00000000001251421569;
0500147630;26106413;;00000000001251421606;
0500147630;26103030;;00000000001251421149;
0500147630;26096815;;00000000001251421668;
